title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
3923,Island,ACTION,"Inwan Youn,Kyungil Yang",SUNDAY,6,16616,9.07,64124,6552,ONGOING,True,"“I’ll offer you 50 million won for every demon you hunt down.” Jeju Island is swarming with demons out for human blood. When Won Miho, heiress of Daehan Group, finds herself at the mercy of one of these evil demons, she strikes a deal with serial killer, Van, to ensure her survival."
3922,Deadlife,ACTION,"Hooressha,Jinguk Lim",SUNDAY,6,44466,9.31,291920,32125,ONGOING,True,"Am I dead, or am I alive? After Seong-hun gets bitten by a zombie, he soon realizes that he hasn’t completely turned into one. Yes, his movements are slow, his urge to bite humans is strong, and his looks are completely different. But he remembers. He remembers the scent of his crush, he remembers how to read, and he remembers that he should protect his friends.
 
Unfortunately, the other intelligent zombies seem to disagree with the last bit...
"
3921,The Final Raid Boss,FANTASY,"KIM JANGHUN,HA SEONGSHIN,PARK SUBONG",WEDNESDAY,3,94324,8.98,320455,31955,ONGOING,False,"Daejang Gong, aka Raid Leader, used to be rank one in the world’s first VR RPG game Rou Online, but now he’s trapped in a game called Astrom as an NPC due to the evil scheming of an AI! Now, Daejang must find a way to escape this sick metaverse, but will he be able to outsmart artificial intelligence?"
3920,Regina Rena: To the Unforgiven,FANTASY,"Seol Dong-Won,NANA,kim youngji",TUESDAY,4,318140,9.72,1380369,161004,ONGOING,False,"Rena Rubel is a beautiful woman who has faced her share of hardships, as she was offered as a sacrifice by her own father, Marquis Rubel. She manages to survive and one day encounters a man named Lin, who belatedly discovers she is a powerful warrior who can hold her own. Rena gifts him with the elusive altar stone, and he promises to pay her back. They agree to meet again, and she continues to travel with her maid Yuni, seeking her father for his sins of the past. Can he be forgiven?"
3919,Love and Leashes,ROMANCE,Winter,FRIDAY,6,204540,8.36,3861018,309814,ONGOING,True,"Jihu has a secret kink and has finally met the master he’s been dreaming of. His co-worker, Ji-u, seems to think otherwise. Despite all the misunderstandings between them, will the two succeed in finding a balance between pleasure and pain, kink and love?"
3918,My In-Laws are Obsessed with Me ,FANTASY,"seungu,Han Yoon seol",SUNDAY,6,247629,9.77,1446174,176760,ONGOING,False,"Pereshati Jahardt is a count's daughter who got remarried after her mother’s passing. When her father died, he left her all his fortune. Then, Pereshati's greedy stepmother and stepsister conspire with Pereshati's lover to kill her. However, under mysterious circumstances, Pereshati is brought back to life and travels back in time before her murder. To buy some time before getting her revenge, Pereshati visits the handsome yet notorious grand duke, Therdeo Lapileon, to marry him. During her visit, she uncovers a horrifying secret of his family. How will Pereshati deal with it? Will she be able to take her revenge?"
3917,Manager Kim,ACTION,"Jeongjongtaek,Toy",SATURDAY,5,109591,9.79,488041,60977,ONGOING,False,"Single father, company manager, and former black-ops member, Mr. Kim lived an ordinary life until his daughter, Minji, went missing. After discovering his daughter could be dead, Mr. Kim turns merciless and sets out for information. He will rescue his daughter by any means necessary, even if it means destroying everything and everyone standing in his path."
3916,Eternals: The 500 Year War,SUPER_HERO,Marvel,FRIDAY,7,175482,7.3,846461,63645,COMPLETED,False,"An international, all-star creative team of writers and artists presents ETERNALS: THE 500 YEAR WAR! Follow the Eternals in their past encounters against the Deviants in this original 7 episode series! Learn how the Eternals interacted with different cultures of the human race across time, gifting humanity with cultural artifacts while also trying to keep them safe from the Deviant threat. It’s a battle that spans centuries, with the fate of the planet at stake!"
3915,I’m the Max-Level Newbie,ACTION,"SWING BAT,WAN.Z(redice studio),Maslow",SATURDAY,4,101756,8.87,610174,59053,ONGOING,True,"Kang Jinhyeok, a gaming streamer and content creator, is the only person who has cleared the game, [Tower of Trials]. However, as the game’s popularity declines, it becomes increasingly difficult for him to continue making a living as a content creator. Jinhyeok prepares to end his 11-year-long relationship with the game and say goodbye to his humble group of subscribers. But on that very day, the Tower of Trials appears in reality with a message saying that humanity will perish unless all players clear each floor within 90 days. Jinhyeok, who knows the game better than anyone, decides to use his knowledge to his advantage and dominate the tower. It’s time to show everyone what a hardcore gamer can do!
"
3913,Tomorrow,DRAMA,Llama,THURSDAY,5,61893,9.56,191960,23201,ONGOING,False,"Junwung, an unemployed college graduate, slips into a coma when he accidentally falls off of a bridge. While he's in a comatose state, he gets an offer from the crisis response team of the underworld company Flashback to temporarily join their team. If he accepts this offer, he could wake up early from the coma and even get rid of the karma from his past life that’s been holding him back from getting jobs! He’s got nothing better to do tomorrow, so it’s a beautiful day to save lives… with these grim reapers!!"
